"","Accession","Kr1","kr1","Kr2","kr2","Kr3","kr3","Kx","n"
"135","PI_571423",0.000419544807227292,0.00013273634468214,0.000162456347866052,5.13982330723198e-05,0.000146550736435596,4.63659869692967e-05,3.00025097435579,3
"136","PI_571427",0.000462657037903888,0.000136217498426875,0.000181613752774813,5.34715114136905e-05,0.000163461324742884,4.81269945592925e-05,4.08977948660489,3
"137","PI_571437",0.000392007103577757,0.000128550314972763,0.000158298167184751,5.19104859720338e-05,0.000142864558199465,4.68493651961155e-05,1.58504867434009,3
"138","PI_571439",0.000452986482421464,0.000116895113711838,0.000189432895719858,4.88839750086244e-05,0.00017219466373327,4.44355749647828e-05,6.02327390202794,3
"139","PI_571447",0.000444208427142362,0.000155546238394727,0.000170386082441694,5.96632404502435e-05,0.000151501938741099,5.30506745049523e-05,1.4724390927504,3
"140","PI_571465",0.000429718616027348,0.000118019292422329,0.000176610510720695,4.85048744275863e-05,0.000160794463079926,4.41611046166861e-05,2.10383219607159,3
"141","PI_571479",0.000436614870048713,0.00013250635862358,0.000171956454908247,5.21863208167175e-05,0.000155128989058394,4.70794259819678e-05,3.36216932165038,3
"142","PI_571522",0.00051158826958902,0.000156074728610771,0.000196498280802464,5.99474571091416e-05,0.00017443712021531,5.32170650025267e-05,5.18434199844705,3
"143","PI_571523",0.00050243488612951,0.00014208993456365,0.000200510617871109,5.6704940996631e-05,0.000179455416315248,5.07504734747925e-05,5.91350352408952,3
"144","PI_571543",0.000590930863196581,0.000129149950008287,0.000246222811240499,5.38128328423958e-05,0.000221699083550051,4.8453088746267e-05,8.39777534331986,3
"145","PI_571550",0.000516942181490766,0.000142789043692539,0.000201601771261855,5.56861582511749e-05,0.000180390489202534,4.98272076969585e-05,6.89359911987946,1
"146","PI_571573",0.000325880245921844,0.000147393490152504,0.000118538736292696,5.36142901544205e-05,0.000106271110331674,4.80657236828152e-05,0.371563283927567,3
"147","PI_571581",0.000486918062533678,0.000139898299741178,0.000192846565419285,5.54074878074947e-05,0.000172904005732503,4.96777143459183e-05,3.40226015043211,2
